,Год приёмной компании,Пол,Ср. балл док-та об образовании,Вид приема,Приоритет,Направление подготовки,Сумма баллов,Сумма баллов за индивидуальные достижения,Приказ о зачислении
0,2019,М,4.563,По договору,2,38.03.06 Торговое дело,234,10,0
1,2019,М,4.563,По договору,3,38.03.07 Товароведение,234,10,0
2,2019,М,4.563,По договору,1,38.03.06 Торговое дело,234,10,0
3,2019,М,3.733,Общий конкурс,3,27.03.04 Управление в технических системах,173,0,0
4,2019,М,3.733,Общий конкурс,2,15.03.04 Автоматизация технологических процессов и производств,173,0,0
5,2019,М,3.733,По договору,4,09.03.02 Информационные системы и технологии,173,0,0
6,2019,М,3.733,По договору,5,15.03.04 Автоматизация технологических процессов и производств,173,0,0
7,2019,М,3.733,Общий конкурс,1,09.03.02 Информационные системы и технологии,173,0,0
8,2019,М,3.733,По договору,6,27.03.04 Управление в технических системах,173,0,0
9,2019,Ж,3.189,По договору,1,43.03.03 Гостиничное дело,164,0,0
10,2019,Ж,3.643,По договору,1,13.03.01 Теплоэнергетика и теплотехника,161,0,0
11,2019,Ж,3.643,По договору,5,21.03.02 Землеустройство и кадастры,161,0,0
12,2019,Ж,3.643,Общий конкурс,3,21.03.02 Землеустройство и кадастры,161,0,0
13,2019,Ж,3.643,По договору,6,20.03.01 Техносферная безопасность,161,0,0
14,2019,Ж,3.643,Общий конкурс,4,20.03.01 Техносферная безопасность,161,0,0
15,2019,Ж,3.643,Общий конкурс,2,13.03.01 Теплоэнергетика и теплотехника,161,0,0
16,2019,М,3.314,По договору,4,23.03.01 Технология транспортных процессов,148,0,0
17,2019,М,3.314,Общий конкурс,1,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,148,0,0
18,2019,М,3.314,По договору,3,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,148,0,0
19,2019,М,3.314,По договору,5,23.03.02 Наземные транспортно-технологические комплексы,148,0,0
20,2019,М,3.314,Общий конкурс,2,23.03.01 Технология транспортных процессов,148,0,0
21,2019,М,,,,,,,0
22,2019,М,3.571,По договору,1,21.03.01 Нефтегазовое дело,138,0,0
23,2019,М,3.759,По договору,1,08.03.01 Строительство,166,0,0
24,2019,М,4,По договору,1,21.03.01 Нефтегазовое дело,189,0,0
25,2019,М,4.333,Общий конкурс,3,22.03.01 Материаловедение и технологии материалов,196,0,0
26,2019,М,4.333,Общий конкурс,2,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,196,0,0
27,2019,М,4.333,Общий конкурс,1,13.03.01 Теплоэнергетика и теплотехника,196,0,0
28,2019,М,3.286,По договору,1,21.03.01 Нефтегазовое дело,162,0,0
29,2019,Ж,4.214,По договору,3,38.03.05 Бизнес-информатика,192,0,0
30,2019,Ж,4.214,По договору,1,38.03.07 Товароведение,192,0,0
31,2019,Ж,4.214,По договору,2,38.03.06 Торговое дело,192,0,0
32,2019,Ж,4.667,По договору,5,21.03.01 Нефтегазовое дело,212,10,0
33,2019,Ж,4.667,По договору,6,20.03.01 Техносферная безопасность,212,10,0
34,2019,Ж,4.667,Общий конкурс,3,20.03.01 Техносферная безопасность,212,10,0
35,2019,Ж,4.667,Общий конкурс,2,21.03.01 Нефтегазовое дело,212,10,0
36,2019,Ж,4.667,По договору,4,09.03.02 Информационные системы и технологии,212,10,0
37,2019,Ж,4.667,Общий конкурс,1,09.03.02 Информационные системы и технологии,212,10,0
38,2019,Ж,4.667,По договору,4,08.03.01 Строительство,210,10,0
39,2019,Ж,4.667,Общий конкурс,2,08.03.01 Строительство,210,10,0
40,2019,Ж,4.667,Общий конкурс,3,18.03.01 Химическая технология,210,10,0
41,2019,Ж,4.667,По договору,5,18.03.01 Химическая технология,210,10,0
42,2019,Ж,4.667,Общий конкурс,1,27.03.01 Стандартизация и метрология,210,10,1
43,2019,Ж,4.667,По договору,6,27.03.01 Стандартизация и метрология,210,10,0
44,2019,М,3.944,По договору,3,15.03.04 Автоматизация технологических процессов и производств,0,0,0
45,2019,М,3.944,По договору,2,21.05.02 Прикладная геология,0,0,0
46,2019,М,3.944,По договору,1,08.03.01 Строительство,0,0,0
47,2019,М,3.316,Общий конкурс,3,21.03.02 Землеустройство и кадастры,160,0,0
48,2019,М,3.316,По договору,6,21.03.02 Землеустройство и кадастры,160,0,0
49,2019,М,3.316,Общий конкурс,1,13.03.01 Теплоэнергетика и теплотехника,160,0,0
50,2019,М,3.316,Общий конкурс,2,12.03.04 Биотехнические системы и технологии,160,0,0
51,2019,М,3.316,По договору,4,12.03.04 Биотехнические системы и технологии,160,0,0
52,2019,М,3.316,По договору,5,13.03.01 Теплоэнергетика и теплотехника,160,0,0
53,2019,Ж,4,По договору,1,21.05.02 Прикладная геология,201,5,0
54,2019,М,3.7,Общий конкурс,3,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,190,0,0
55,2019,М,3.7,Общий конкурс,2,21.03.01 Нефтегазовое дело,190,0,0
56,2019,М,3.7,Общий конкурс,1,08.03.01 Строительство,190,0,1
57,2019,М,3.7,По договору,4,21.03.01 Нефтегазовое дело,190,0,0
58,2019,М,3.7,По договору,6,08.03.01 Строительство,190,0,0
59,2019,М,3.7,По договору,5,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,190,0,0
60,2019,М,5,По договору,3,08.03.01 Строительство,214,8,0
61,2019,М,5,Общий конкурс,1,08.03.01 Строительство,214,8,1
62,2019,М,5,Общий конкурс,2,21.03.02 Землеустройство и кадастры,214,8,0
63,2019,М,5,По договору,4,21.03.02 Землеустройство и кадастры,214,8,0
64,2019,М,3.8,Общий конкурс,4,21.03.01 Нефтегазовое дело,161,0,0
65,2019,М,3.8,По договору,6,21.03.01 Нефтегазовое дело,161,0,0
66,2019,М,3.8,Общий конкурс,3,05.03.01 Геология,161,0,0
67,2019,М,3.8,По договору,2,05.03.01 Геология,161,0,0
68,2019,М,3.8,Общий конкурс,5,09.03.02 Информационные системы и технологии,161,0,0
69,2019,М,3.8,По договору,1,09.03.02 Информационные системы и технологии,161,0,0
70,2019,М,4.844,По договору,3,23.03.02 Наземные транспортно-технологические комплексы,0,0,0
71,2019,М,4.844,По договору,1,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,0,0,0
72,2019,М,4.844,По договору,2,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,0,0,0
73,2019,М,4.25,По договору,1,08.03.01 Строительство,168,0,0
74,2019,М,4.286,Общий конкурс,2,13.03.02 Электроэнергетика и электротехника,208,10,0
75,2019,М,4.286,По договору,5,13.03.01 Теплоэнергетика и теплотехника,208,10,0
76,2019,М,4.286,Общий конкурс,1,13.03.01 Теплоэнергетика и теплотехника,208,10,1
77,2019,М,4.286,По договору,4,13.03.02 Электроэнергетика и электротехника,208,10,0
78,2019,М,4.286,Общий конкурс,3,15.03.04 Автоматизация технологических процессов и производств,208,10,0
79,2019,М,4.286,По договору,6,15.03.04 Автоматизация технологических процессов и производств,208,10,0
80,2019,М,4.286,Общий конкурс,1,21.03.01 Нефтегазовое дело,206,0,0
81,2019,М,4.286,Общий конкурс,3,15.03.01 Машиностроение,206,0,0
82,2019,М,4.286,По договору,6,15.03.01 Машиностроение,206,0,0
83,2019,М,4.286,Общий конкурс,2,05.03.01 Геология,206,0,0
84,2019,М,4.286,По договору,5,05.03.01 Геология,206,0,0
85,2019,М,4.286,По договору,4,21.03.01 Нефтегазовое дело,206,0,0
86,2019,Ж,3.528,По договору,1,21.03.01 Нефтегазовое дело,135,0,0
87,2019,М,4.786,По договору,2,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,136,0,0
88,2019,М,4.786,По договору,1,23.03.02 Наземные транспортно-технологические комплексы,136,0,0
89,2019,М,3.263,Общий конкурс,1,13.03.02 Электроэнергетика и электротехника,152,0,0
90,2019,М,3.263,По договору,2,13.03.02 Электроэнергетика и электротехника,152,0,0
91,2019,Ж,4,По договору,5,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,203,0,0
92,2019,Ж,4,Общий конкурс,2,12.03.01 Приборостроение,203,0,0
93,2019,Ж,4,По договору,6,12.03.01 Приборостроение,203,0,0
94,2019,Ж,4,Общий конкурс,3,15.03.01 Машиностроение,203,0,0
95,2019,Ж,4,По договору,4,15.03.01 Машиностроение,203,0,0
96,2019,Ж,4,Общий конкурс,1,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,203,0,0
97,2019,Ж,4.333,Общий конкурс,2,21.03.01 Нефтегазовое дело,184,0,0
98,2019,Ж,4.333,По договору,4,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,184,0,0
99,2019,Ж,4.333,Общий конкурс,3,13.03.01 Теплоэнергетика и теплотехника,184,0,0
100,2019,Ж,4.333,Общий конкурс,1,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,184,0,0
101,2019,М,4.826,По договору,4,08.03.01 Строительство,189,0,0
102,2019,М,4.826,По договору,6,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",189,0,0
103,2019,М,4.826,Общий конкурс,3,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",189,0,0
104,2019,М,4.826,Общий конкурс,1,08.03.01 Строительство,189,0,1
105,2019,М,4.826,По договору,5,21.03.02 Землеустройство и кадастры,189,0,0
106,2019,М,4.826,Общий конкурс,2,21.03.02 Землеустройство и кадастры,189,0,0
107,2019,М,3.651,По договору,1,21.03.01 Нефтегазовое дело,142,0,0
108,2019,М,4.118,Общий конкурс,2,21.03.01 Нефтегазовое дело,135,0,0
109,2019,М,4.118,Общий конкурс,1,08.03.01 Строительство,135,0,0
110,2019,М,3.757,По договору,1,08.03.01 Строительство,142,0,0
111,2019,Ж,3.9,По договору,1,15.03.04 Автоматизация технологических процессов и производств,142,0,0
112,2019,Ж,3,По договору,3,21.03.01 Нефтегазовое дело,5,5,0
113,2019,Ж,3,По договору,1,21.05.02 Прикладная геология,5,5,0
114,2019,Ж,3,По договору,4,20.03.01 Техносферная безопасность,5,5,0
115,2019,Ж,3,По договору,2,21.03.01 Нефтегазовое дело,5,5,0
116,2019,М,4.294,По договору,1,37.03.02 Конфликтология,178,0,0
117,2019,М,4.286,По договору,4,08.05.01 Строительство уникальных зданий и сооружений,230,10,0
118,2019,М,4.286,Общий конкурс,2,08.05.01 Строительство уникальных зданий и сооружений,230,10,0
119,2019,М,4.286,По договору,6,21.05.02 Прикладная геология,230,10,0
120,2019,М,4.286,Общий конкурс,1,21.03.01 Нефтегазовое дело,230,10,1
121,2019,М,4.286,По договору,5,21.03.01 Нефтегазовое дело,230,10,0
122,2019,М,4.286,Общий конкурс,3,21.05.02 Прикладная геология,230,10,0
123,2019,М,4.159,По договору,1,15.03.04 Автоматизация технологических процессов и производств,138,0,0
124,2019,М,4.159,По договору,3,27.03.04 Управление в технических системах,138,0,0
125,2019,М,4.159,По договору,2,21.05.02 Прикладная геология,138,0,0
126,2019,Ж,4,По договору,5,08.03.01 Строительство,153,0,0
127,2019,Ж,4,Общий конкурс,1,21.03.01 Нефтегазовое дело,153,0,0
128,2019,Ж,4,По договору,4,21.03.01 Нефтегазовое дело,153,0,0
129,2019,Ж,4,Общий конкурс,2,08.03.01 Строительство,153,0,0
